gender,student_ethnicity,parents_degree,lunch,test_prep,math_score,reading_score,writing_score
male,E,unknown_college_degree,standard,no,76,71,72
female,D,master_degree,standard,no,74,79,82
female,B,associate_degree,standard,yes,94,87,92
male,C,unknown_college_degree,subsidised,no,63,61,54
female,E,associate_degree,standard,yes,95,89,92
female,D,master_degree,subsidised,no,40,59,54
female,B,unknown_high_school_degree,standard,no,82,82,80
male,A,high_school_degree,standard,no,68,70,66
male,B,bachelor_degree,subsidised,no,55,59,54
male,C,master_degree,standard,no,79,78,77
female,C,bachelor_degree,standard,no,86,92,87
male,D,unknown_college_degree,standard,no,76,71,73
male,A,unknown_high_school_degree,standard,no,64,50,43
male,D,unknown_high_school_degree,subsidised,no,62,49,52
female,B,unknown_high_school_degree,standard,yes,54,61,62
female,B,master_degree,subsidised,yes,77,97,94
female,C,unknown_high_school_degree,standard,yes,76,87,85
female,D,unknown_college_degree,standard,no,74,89,84
female,E,unknown_college_degree,standard,yes,66,74,73
female,D,unknown_high_school_degree,standard,yes,66,78,78
female,B,high_school_degree,subsidised,yes,67,78,79
male,D,unknown_college_degree,standard,no,71,49,52
female,C,associate_degree,standard,no,91,86,84
male,D,bachelor_degree,standard,no,69,58,57
male,C,master_degree,subsidised,no,54,59,50
male,C,high_school_degree,standard,yes,53,52,49
male,E,unknown_college_degree,standard,no,68,60,59
male,C,unknown_high_school_degree,subsidised,yes,56,61,60
female,C,high_school_degree,subsidised,no,36,53,43
female,D,bachelor_degree,subsidised,no,29,41,47
female,C,associate_degree,standard,no,62,74,70
female,C,associate_degree,standard,yes,68,67,73
female,C,unknown_high_school_degree,standard,no,47,54,53
male,E,associate_degree,standard,yes,62,61,58
female,E,associate_degree,standard,yes,79,88,94
male,B,high_school_degree,standard,yes,73,69,68
female,C,bachelor_degree,subsidised,yes,66,83,83
male,C,associate_degree,standard,yes,51,60,58
female,D,high_school_degree,standard,no,51,66,62
male,E,bachelor_degree,standard,yes,85,66,71
male,A,associate_degree,standard,yes,97,92,86
male,C,high_school_degree,standard,yes,75,69,68
male,D,associate_degree,subsidised,yes,79,82,80
female,C,associate_degree,standard,no,81,77,79
female,D,associate_degree,standard,no,82,95,89
female,D,master_degree,standard,no,64,63,66
male,E,unknown_high_school_degree,subsidised,yes,78,83,80
female,A,unknown_high_school_degree,standard,yes,92,100,97
male,C,high_school_degree,standard,yes,72,67,64
female,C,high_school_degree,subsidised,no,62,67,64
male,C,master_degree,standard,no,79,72,69
male,C,unknown_high_school_degree,subsidised,no,79,76,65
male,B,bachelor_degree,subsidised,yes,87,90,88
female,B,associate_degree,standard,no,40,48,50
male,D,unknown_college_degree,subsidised,no,77,62,64
male,E,associate_degree,standard,no,53,45,40
female,C,unknown_college_degree,subsidised,no,32,39,33
female,C,associate_degree,standard,yes,55,72,79
male,C,master_degree,subsidised,no,61,67,66
female,B,associate_degree,subsidised,no,53,70,70
male,D,unknown_high_school_degree,standard,no,73,66,62
female,D,unknown_college_degree,standard,yes,74,75,79
female,C,unknown_college_degree,standard,no,63,74,74
male,C,bachelor_degree,standard,yes,96,90,92
female,D,unknown_college_degree,subsidised,yes,63,80,80
male,B,bachelor_degree,subsidised,no,48,51,46
male,B,associate_degree,standard,no,48,43,45
female,E,bachelor_degree,subsidised,yes,92,100,100
female,D,master_degree,subsidised,yes,61,71,78
male,B,high_school_degree,subsidised,no,63,48,47
male,D,bachelor_degree,subsidised,no,68,68,67
male,B,unknown_college_degree,standard,yes,71,75,70
male,A,bachelor_degree,standard,no,91,96,92
female,C,unknown_college_degree,standard,no,53,62,56
female,C,high_school_degree,subsidised,yes,50,66,64
female,E,high_school_degree,standard,no,74,81,71
male,A,associate_degree,subsidised,yes,40,55,53
male,A,unknown_college_degree,standard,yes,61,51,52
female,B,high_school_degree,standard,no,81,91,89
female,B,unknown_college_degree,subsidised,yes,48,56,58
female,D,master_degree,standard,no,53,61,68
female,D,unknown_high_school_degree,standard,no,81,97,96
female,E,unknown_high_school_degree,standard,no,77,79,80
female,D,bachelor_degree,subsidised,no,63,73,78
female,D,associate_degree,standard,yes,73,75,80
female,D,unknown_college_degree,standard,no,69,77,77
female,C,associate_degree,standard,no,65,76,76
female,A,high_school_degree,standard,no,55,73,73
female,C,bachelor_degree,subsidised,no,44,63,62
female,C,unknown_college_degree,standard,no,54,64,65
female,A,unknown_high_school_degree,standard,no,48,66,65
male,C,unknown_college_degree,subsidised,no,58,57,54
male,A,unknown_high_school_degree,standard,no,71,62,50
male,E,bachelor_degree,standard,no,68,68,64
female,E,high_school_degree,standard,no,74,76,73
female,C,bachelor_degree,standard,yes,92,100,99
female,C,bachelor_degree,standard,yes,56,79,72
male,B,high_school_degree,subsidised,no,30,24,15
male,A,unknown_high_school_degree,standard,no,53,54,48
female,D,high_school_degree,standard,no,69,77,73
female,D,unknown_high_school_degree,standard,no,65,82,81
female,D,master_degree,standard,no,54,60,63
female,C,high_school_degree,standard,no,29,29,30
female,E,unknown_college_degree,standard,no,76,78,80
male,D,high_school_degree,subsidised,no,60,57,51
male,D,master_degree,subsidised,yes,84,89,90
male,C,unknown_high_school_degree,standard,no,75,72,62
female,C,associate_degree,standard,no,85,84,82
female,C,master_degree,subsidised,no,40,58,54
female,E,unknown_college_degree,standard,no,61,64,62
female,B,associate_degree,standard,no,58,63,65
male,D,unknown_college_degree,subsidised,yes,69,60,63
female,C,unknown_college_degree,standard,no,58,59,66
male,C,bachelor_degree,standard,yes,94,90,91
female,C,associate_degree,standard,no,65,77,74
female,A,associate_degree,standard,no,82,93,93
female,C,high_school_degree,standard,no,60,68,72
female,E,bachelor_degree,standard,no,37,45,38
male,D,bachelor_degree,standard,no,88,78,83
male,D,master_degree,standard,no,95,81,84
male,C,associate_degree,subsidised,yes,65,73,68
female,C,high_school_degree,subsidised,no,35,61,54
male,B,bachelor_degree,subsidised,no,62,63,56
male,C,high_school_degree,subsidised,yes,58,51,52
male,A,unknown_college_degree,standard,yes,100,96,86
female,E,bachelor_degree,subsidised,no,61,58,62
male,D,unknown_college_degree,standard,yes,100,97,99
male,B,associate_degree,subsidised,yes,69,70,63
male,D,associate_degree,standard,no,61,48,46
male,D,unknown_college_degree,subsidised,no,49,57,46
female,C,unknown_high_school_degree,standard,yes,44,51,55
male,D,unknown_college_degree,standard,no,67,64,70
male,B,high_school_degree,standard,no,79,60,65
female,B,bachelor_degree,standard,yes,66,74,81
female,C,high_school_degree,standard,no,75,88,85
male,D,unknown_high_school_degree,standard,no,84,84,80
male,A,high_school_degree,standard,no,71,74,64
female,B,high_school_degree,subsidised,yes,67,80,81
female,D,unknown_high_school_degree,standard,yes,80,92,88
male,E,unknown_college_degree,standard,no,86,76,74
female,D,associate_degree,standard,no,76,74,73
male,D,high_school_degree,standard,no,41,52,51
female,D,associate_degree,subsidised,yes,74,88,90
female,B,unknown_high_school_degree,subsidised,no,72,81,79
female,E,high_school_degree,standard,yes,74,79,80
male,B,high_school_degree,standard,no,70,65,60
female,B,bachelor_degree,standard,yes,65,81,81
female,D,associate_degree,standard,no,59,70,65
female,E,high_school_degree,subsidised,no,64,62,68
female,B,high_school_degree,standard,no,50,53,55
female,D,unknown_college_degree,standard,yes,69,79,81
male,C,unknown_high_school_degree,subsidised,yes,51,56,53
female,A,high_school_degree,standard,yes,68,80,76
female,D,unknown_college_degree,standard,yes,85,86,98
female,A,associate_degree,standard,yes,65,70,74
female,B,unknown_high_school_degree,standard,no,73,79,79
female,B,unknown_college_degree,standard,no,62,67,67
male,C,associate_degree,subsidised,no,77,67,64
male,D,unknown_high_school_degree,standard,no,69,66,61
female,D,associate_degree,subsidised,no,43,60,58
male,D,associate_degree,standard,no,90,87,85
male,C,unknown_college_degree,subsidised,no,74,77,73
male,C,unknown_high_school_degree,standard,no,73,66,63
female,D,unknown_college_degree,subsidised,no,55,71,69
female,C,high_school_degree,standard,no,65,69,67
male,D,associate_degree,standard,no,80,63,63
female,C,unknown_high_school_degree,subsidised,yes,50,60,60
female,C,unknown_college_degree,subsidised,yes,63,73,71
female,B,bachelor_degree,subsidised,no,77,85,87
male,C,unknown_college_degree,standard,no,73,74,61
male,D,associate_degree,standard,yes,81,72,77
female,C,high_school_degree,subsidised,no,66,76,68
male,D,associate_degree,subsidised,no,52,57,50
female,C,unknown_college_degree,standard,no,69,78,76
female,C,associate_degree,standard,yes,65,84,84
female,D,high_school_degree,standard,yes,69,77,78
female,B,unknown_college_degree,standard,yes,50,64,66
female,E,unknown_college_degree,standard,yes,73,78,76
female,C,unknown_high_school_degree,standard,yes,70,82,76
male,D,associate_degree,subsidised,no,81,75,78
male,D,unknown_college_degree,subsidised,no,63,61,60
female,D,high_school_degree,standard,no,67,72,74
male,B,high_school_degree,standard,no,60,68,60
male,B,high_school_degree,standard,no,62,55,54
female,C,unknown_high_school_degree,subsidised,yes,29,40,44
male,B,unknown_college_degree,standard,yes,62,66,68
female,E,master_degree,standard,yes,94,99,100
male,E,unknown_college_degree,standard,yes,85,75,68
male,D,associate_degree,subsidised,no,77,78,73
male,A,high_school_degree,subsidised,no,53,58,44
male,E,unknown_college_degree,subsidised,no,93,90,83
female,C,associate_degree,standard,no,49,53,53
female,E,associate_degree,subsidised,no,73,76,78
female,C,bachelor_degree,subsidised,yes,66,74,81
female,D,associate_degree,standard,no,77,77,73
female,C,unknown_high_school_degree,standard,no,49,63,56
female,D,unknown_college_degree,subsidised,no,79,89,86
female,C,associate_degree,standard,yes,75,82,90
female,A,bachelor_degree,standard,no,59,72,70
female,D,associate_degree,standard,yes,57,78,79
male,C,high_school_degree,subsidised,no,66,66,59
female,E,bachelor_degree,standard,yes,79,81,82
female,B,unknown_high_school_degree,standard,no,57,67,72
male,A,bachelor_degree,standard,yes,87,84,87
female,D,unknown_college_degree,standard,no,63,64,67
female,B,unknown_high_school_degree,subsidised,yes,59,63,64
male,A,bachelor_degree,subsidised,no,62,72,65
male,D,high_school_degree,standard,no,46,34,36
male,C,unknown_college_degree,standard,no,66,59,52
male,D,high_school_degree,standard,no,89,87,79
female,D,associate_degree,subsidised,yes,42,61,58
male,C,unknown_college_degree,standard,yes,93,84,90
female,E,unknown_high_school_degree,standard,yes,80,85,85
female,D,unknown_college_degree,standard,no,98,100,99
male,D,master_degree,standard,no,81,81,84
female,B,unknown_high_school_degree,standard,yes,60,70,74
female,B,associate_degree,subsidised,yes,76,94,87
male,C,associate_degree,standard,yes,73,78,72
female,C,associate_degree,standard,yes,96,96,99
female,C,high_school_degree,standard,no,76,76,74
male,E,associate_degree,subsidised,yes,91,73,80
female,C,unknown_college_degree,subsidised,no,62,72,70
male,D,unknown_high_school_degree,subsidised,yes,55,59,59
female,B,unknown_high_school_degree,subsidised,yes,74,90,88
male,C,high_school_degree,standard,no,50,48,42
male,B,unknown_college_degree,standard,no,47,43,41
male,E,unknown_college_degree,standard,yes,81,74,71
female,E,associate_degree,standard,yes,65,75,77
male,E,unknown_high_school_degree,standard,yes,68,51,57
female,D,high_school_degree,subsidised,no,73,92,84
male,C,unknown_college_degree,standard,no,53,39,37
female,B,associate_degree,subsidised,yes,68,77,80
male,A,unknown_high_school_degree,subsidised,no,55,46,43
female,C,unknown_college_degree,standard,yes,87,89,94
male,D,unknown_high_school_degree,standard,no,55,47,44
female,E,unknown_college_degree,subsidised,no,53,58,57
male,C,master_degree,standard,no,67,57,59
male,C,associate_degree,standard,no,92,79,84
female,B,unknown_college_degree,subsidised,yes,53,66,73
male,D,associate_degree,standard,no,81,71,73
male,C,high_school_degree,subsidised,no,61,60,55
male,D,bachelor_degree,standard,no,80,73,72
female,A,associate_degree,subsidised,no,37,57,56
female,C,high_school_degree,standard,no,81,84,82
female,C,associate_degree,standard,yes,59,73,72
male,B,unknown_college_degree,subsidised,no,55,55,47
male,D,associate_degree,standard,no,72,79,74
male,D,high_school_degree,standard,no,69,75,71
male,C,unknown_college_degree,standard,no,69,64,68
female,C,bachelor_degree,subsidised,no,50,60,59
male,B,unknown_college_degree,standard,yes,87,84,86
male,D,unknown_high_school_degree,standard,yes,71,69,68
male,E,unknown_college_degree,standard,no,68,72,65
male,C,master_degree,subsidised,yes,79,77,75
female,C,unknown_high_school_degree,standard,yes,77,90,85
male,C,associate_degree,subsidised,no,58,55,53
female,E,associate_degree,standard,no,84,95,92
male,D,unknown_college_degree,standard,no,55,58,52
male,E,bachelor_degree,subsidised,yes,70,68,72
female,D,unknown_college_degree,subsidised,yes,52,59,65
male,B,unknown_college_degree,standard,yes,69,77,77
female,C,high_school_degree,subsidised,no,53,72,64
female,D,unknown_high_school_degree,standard,no,48,58,54
male,D,unknown_high_school_degree,standard,yes,78,81,86
female,B,high_school_degree,standard,no,62,62,63
male,D,unknown_college_degree,standard,no,60,63,59
female,B,high_school_degree,standard,no,74,72,72
female,C,high_school_degree,standard,yes,58,75,77
male,B,high_school_degree,standard,yes,76,62,60
female,D,unknown_high_school_degree,standard,no,68,71,75
male,A,unknown_college_degree,subsidised,no,58,60,57
male,B,high_school_degree,standard,no,52,48,49
male,D,bachelor_degree,standard,no,75,73,74
female,B,unknown_high_school_degree,subsidised,yes,52,67,72
female,C,bachelor_degree,subsidised,no,62,78,79
male,B,unknown_college_degree,standard,no,66,65,60
female,B,unknown_high_school_degree,subsidised,no,49,58,55
female,B,high_school_degree,standard,no,66,72,70
female,C,unknown_college_degree,subsidised,no,35,44,43
female,A,unknown_college_degree,standard,yes,72,79,82
male,E,associate_degree,standard,yes,94,85,82
female,D,associate_degree,subsidised,no,46,56,57
female,B,master_degree,standard,no,77,90,84
female,B,high_school_degree,subsidised,yes,76,85,82
female,C,associate_degree,standard,yes,52,59,62
male,C,bachelor_degree,standard,yes,91,81,79
female,B,unknown_high_school_degree,standard,yes,32,51,44
female,E,unknown_high_school_degree,subsidised,no,72,79,77
female,B,unknown_college_degree,standard,no,19,38,32
male,C,associate_degree,subsidised,no,68,65,61
female,C,master_degree,subsidised,no,52,65,61
female,B,high_school_degree,standard,no,48,62,60
female,D,unknown_college_degree,subsidised,no,60,66,70
male,D,high_school_degree,subsidised,no,66,74,69
male,E,unknown_high_school_degree,standard,yes,89,84,77
female,B,high_school_degree,standard,no,42,52,51
female,E,associate_degree,subsidised,yes,57,68,73
male,D,high_school_degree,standard,no,70,70,70
female,E,associate_degree,subsidised,no,70,84,81
male,E,unknown_college_degree,standard,no,69,60,54
female,C,associate_degree,standard,no,52,55,57
male,C,unknown_high_school_degree,standard,yes,67,73,68
male,C,unknown_high_school_degree,standard,yes,76,80,73
female,E,associate_degree,standard,no,87,94,95
female,B,unknown_college_degree,standard,no,82,85,87
female,C,unknown_college_degree,standard,no,73,76,78
male,A,unknown_college_degree,subsidised,no,75,81,74
female,D,unknown_college_degree,subsidised,no,64,74,75
female,E,high_school_degree,subsidised,no,41,45,40
male,C,high_school_degree,standard,no,90,75,69
male,B,bachelor_degree,standard,no,59,54,51
male,A,unknown_high_school_degree,standard,no,51,31,36
male,A,high_school_degree,subsidised,no,45,47,49
female,C,master_degree,standard,yes,54,64,67
male,E,unknown_high_school_degree,standard,yes,87,84,76
female,C,high_school_degree,standard,no,72,80,83
male,B,unknown_high_school_degree,standard,yes,94,86,87
female,A,bachelor_degree,standard,no,45,59,64
male,D,bachelor_degree,subsidised,yes,61,70,76
female,B,high_school_degree,subsidised,no,60,72,68
female,C,unknown_high_school_degree,standard,no,77,91,88
female,A,unknown_high_school_degree,standard,yes,85,90,92
female,D,bachelor_degree,subsidised,no,78,90,93
male,E,unknown_college_degree,subsidised,yes,49,52,51
female,B,high_school_degree,subsidised,no,71,87,82
female,C,unknown_high_school_degree,subsidised,no,48,58,52
male,C,high_school_degree,standard,no,62,67,58
female,C,associate_degree,subsidised,yes,56,68,70
female,C,unknown_high_school_degree,standard,no,65,69,76
female,D,unknown_high_school_degree,subsidised,yes,69,86,81
male,B,unknown_high_school_degree,standard,no,68,54,53
female,A,unknown_college_degree,subsidised,no,61,60,57
female,C,bachelor_degree,subsidised,yes,74,86,89
male,A,bachelor_degree,standard,no,64,60,58
female,B,high_school_degree,standard,yes,77,82,89
male,B,unknown_college_degree,standard,no,58,50,45
female,C,high_school_degree,standard,yes,60,64,74
male,E,high_school_degree,standard,no,73,64,57
female,A,high_school_degree,standard,yes,75,82,79
male,B,associate_degree,subsidised,yes,58,57,53
female,C,associate_degree,standard,no,66,77,73
female,D,high_school_degree,subsidised,no,39,52,46
male,C,unknown_high_school_degree,standard,no,64,58,51
female,B,high_school_degree,subsidised,yes,23,44,36
male,B,unknown_college_degree,subsidised,yes,74,77,76
female,D,unknown_high_school_degree,subsidised,yes,40,65,64
male,E,master_degree,standard,no,90,85,84
male,C,master_degree,standard,yes,91,85,85
male,D,high_school_degree,standard,no,64,54,50
female,C,high_school_degree,standard,no,59,72,68
male,D,associate_degree,standard,no,80,75,69
male,C,master_degree,standard,no,71,67,67
female,A,high_school_degree,standard,no,61,68,63
female,E,unknown_college_degree,standard,no,87,85,93
male,E,unknown_high_school_degree,standard,no,82,67,61
male,C,unknown_high_school_degree,standard,no,62,64,55
female,B,bachelor_degree,standard,no,97,97,96
male,B,unknown_college_degree,subsidised,no,75,68,65
female,C,bachelor_degree,standard,no,65,79,81
male,B,high_school_degree,standard,yes,52,49,46
male,C,associate_degree,subsidised,no,87,73,72
female,C,associate_degree,standard,no,53,62,53
female,E,master_degree,subsidised,no,81,86,87
male,D,bachelor_degree,subsidised,yes,39,42,38
female,C,unknown_college_degree,standard,yes,71,71,80
male,C,associate_degree,standard,no,97,93,91
male,D,unknown_college_degree,standard,yes,82,82,88
male,C,high_school_degree,subsidised,no,59,53,52
male,B,associate_degree,standard,no,61,42,41
male,E,associate_degree,subsidised,yes,78,74,72
male,C,associate_degree,subsidised,no,49,51,51
male,B,high_school_degree,standard,no,59,58,47
female,C,unknown_college_degree,standard,yes,70,72,76
male,B,associate_degree,standard,yes,82,84,78
male,E,associate_degree,subsidised,no,90,90,82
female,C,bachelor_degree,subsidised,no,43,62,61
male,C,unknown_college_degree,subsidised,no,80,64,66
male,D,unknown_college_degree,standard,no,81,82,84
male,C,unknown_high_school_degree,standard,no,57,61,54
female,D,unknown_high_school_degree,standard,no,59,72,80
female,D,associate_degree,standard,no,64,76,74
male,C,bachelor_degree,standard,yes,63,64,66
female,E,bachelor_degree,standard,yes,71,70,70
female,B,high_school_degree,subsidised,no,64,73,71
male,D,bachelor_degree,subsidised,no,55,46,44
female,E,associate_degree,standard,no,51,51,54
female,C,associate_degree,standard,yes,62,76,80
female,E,associate_degree,standard,yes,93,100,95
male,C,high_school_degree,subsidised,no,54,72,59
female,D,unknown_college_degree,subsidised,no,69,65,74
male,D,high_school_degree,subsidised,no,44,51,48
female,E,unknown_college_degree,standard,yes,86,85,91
female,E,associate_degree,standard,no,85,92,85
female,A,master_degree,subsidised,no,50,67,73
male,D,unknown_high_school_degree,standard,yes,88,74,75
female,E,associate_degree,standard,no,59,62,69
female,E,unknown_high_school_degree,subsidised,no,32,34,38
male,B,high_school_degree,subsidised,no,36,29,27
female,B,unknown_high_school_degree,subsidised,yes,63,78,79
male,D,associate_degree,standard,yes,67,54,63
female,D,unknown_high_school_degree,standard,yes,65,78,82
male,D,master_degree,standard,no,85,84,89
female,C,master_degree,standard,no,73,78,74
female,A,high_school_degree,subsidised,yes,34,48,41
female,D,bachelor_degree,subsidised,yes,93,100,100
female,D,unknown_high_school_degree,subsidised,no,67,84,84
male,D,unknown_college_degree,standard,no,88,77,77
male,B,high_school_degree,standard,no,57,48,51
female,D,unknown_college_degree,standard,yes,79,84,91
female,C,bachelor_degree,subsidised,no,67,75,72
male,E,bachelor_degree,standard,yes,70,64,70
male,D,bachelor_degree,subsidised,no,50,42,48
female,A,unknown_college_degree,standard,no,69,84,82
female,C,bachelor_degree,standard,yes,52,61,66
female,C,bachelor_degree,subsidised,yes,47,62,66
female,B,associate_degree,subsidised,no,46,61,55
female,E,unknown_college_degree,standard,no,68,70,66
male,E,bachelor_degree,standard,yes,100,100,100
female,C,high_school_degree,standard,no,44,61,52
female,C,associate_degree,standard,yes,57,77,80
male,B,unknown_college_degree,standard,yes,91,96,91
male,D,high_school_degree,subsidised,no,69,70,67
female,C,high_school_degree,subsidised,no,35,53,46
male,D,high_school_degree,standard,no,72,66,66
female,B,associate_degree,subsidised,no,54,65,65
male,D,high_school_degree,subsidised,no,74,70,69
male,E,unknown_high_school_degree,standard,yes,74,64,60
male,E,associate_degree,subsidised,no,64,56,52
female,D,high_school_degree,subsidised,yes,65,61,71
male,E,associate_degree,subsidised,yes,46,43,44
female,C,unknown_high_school_degree,subsidised,no,48,56,51
male,C,unknown_college_degree,subsidised,yes,67,74,70
male,D,unknown_college_degree,subsidised,no,62,57,62
male,D,associate_degree,subsidised,yes,61,71,73
male,C,bachelor_degree,subsidised,yes,70,75,74
male,C,associate_degree,standard,yes,98,87,90
male,D,unknown_college_degree,subsidised,no,70,63,58
male,A,associate_degree,standard,no,67,57,53
female,E,high_school_degree,subsidised,no,57,58,57
male,D,unknown_college_degree,standard,yes,85,81,85
male,D,unknown_high_school_degree,standard,yes,77,68,69
male,C,master_degree,subsidised,yes,72,66,72
female,D,master_degree,standard,no,78,91,96
male,C,high_school_degree,standard,no,81,66,64
male,A,unknown_high_school_degree,subsidised,yes,61,62,61
female,B,high_school_degree,standard,no,58,68,61
female,C,associate_degree,standard,no,54,61,58
male,B,high_school_degree,standard,no,82,82,80
female,D,unknown_college_degree,subsidised,no,49,58,60
male,B,unknown_high_school_degree,subsidised,yes,49,50,52
female,E,high_school_degree,subsidised,yes,57,75,73
male,E,high_school_degree,standard,no,94,73,71
female,D,unknown_college_degree,standard,yes,75,77,83
female,E,unknown_high_school_degree,subsidised,no,74,74,72
male,C,high_school_degree,standard,yes,58,52,54
female,C,unknown_college_degree,standard,no,62,69,69
male,E,associate_degree,standard,no,72,57,62
male,C,unknown_college_degree,standard,no,84,87,81
female,D,master_degree,standard,no,92,100,100
female,D,high_school_degree,standard,no,45,63,59
male,C,high_school_degree,standard,no,75,81,71
female,A,unknown_college_degree,standard,no,56,58,64
female,D,unknown_high_school_degree,subsidised,no,48,54,53
female,E,associate_degree,standard,no,100,100,100
female,C,unknown_high_school_degree,subsidised,yes,65,76,75
male,D,unknown_college_degree,standard,no,72,57,58
female,D,unknown_college_degree,standard,no,62,70,72
male,A,unknown_high_school_degree,standard,yes,66,68,64
male,C,unknown_college_degree,standard,no,63,63,60
female,E,associate_degree,standard,no,68,76,67
female,B,bachelor_degree,standard,no,75,84,80
female,D,bachelor_degree,standard,no,89,100,100
male,C,unknown_high_school_degree,standard,yes,78,72,69
female,A,high_school_degree,subsidised,yes,53,50,60
female,D,unknown_college_degree,subsidised,no,49,65,61
female,A,unknown_college_degree,standard,no,54,63,67
female,C,unknown_college_degree,standard,yes,64,82,77
male,B,unknown_college_degree,subsidised,yes,60,62,60
male,C,associate_degree,standard,no,62,65,58
male,D,high_school_degree,standard,yes,55,41,48
female,C,associate_degree,standard,no,91,95,94
female,B,high_school_degree,subsidised,no,8,24,23
male,D,unknown_high_school_degree,standard,no,81,78,78
male,B,unknown_high_school_degree,standard,yes,79,85,86
female,A,unknown_college_degree,standard,yes,78,87,91
female,C,unknown_high_school_degree,standard,no,74,75,82
male,A,high_school_degree,standard,no,57,51,54
female,C,associate_degree,standard,no,40,59,51
male,E,unknown_high_school_degree,standard,yes,81,75,76
female,A,unknown_high_school_degree,subsidised,no,44,45,45
female,D,unknown_college_degree,subsidised,yes,67,86,83
male,E,high_school_degree,subsidised,yes,86,81,75
female,B,unknown_high_school_degree,standard,yes,65,82,78
female,D,associate_degree,subsidised,no,55,76,76
female,D,bachelor_degree,subsidised,no,62,72,74
male,A,high_school_degree,standard,no,63,63,62
female,E,master_degree,standard,yes,88,99,95
male,C,high_school_degree,subsidised,no,62,55,55
female,C,high_school_degree,subsidised,yes,59,71,65
female,D,unknown_college_degree,standard,yes,68,78,77
female,D,unknown_college_degree,subsidised,no,77,86,86
